epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.381,1.39199,9.56506,0.64873,5.06438,1.32109,0.97204,0.08621,0.09949,0.0679,0.88615,0.00997,0.00167,0.00052,1.13813,8.30019,0.57145,1.1979,1.11503,0.000255058,0.000255058,0.000255058
2,303.49,1.14121,7.77611,0.53362,2.8837,1.14343,0.96943,0.09348,0.11891,0.08116,0.90193,0.0198,0.00706,0.0024,1.057,7.10614,0.48973,1.0626,1.07344,0.000506329,0.000506329,0.000506329
3,422.367,1.09637,7.06052,0.46181,2.24322,1.10214,0.8775,0.13302,0.13211,0.09168,0.90798,0.0233,0.01058,0.00475,1.0282,6.46279,0.4212,1.01918,1.07191,0.000752524,0.000752524,0.000752524
4,556.088,1.07492,6.3953,0.40702,1.92189,1.09494,0.92367,0.13344,0.1393,0.08901,0.80274,0.05095,0.03522,0.01492,1.01198,6.02316,0.37237,0.97783,1.04443,0.000746161,0.000746161,0.000746161
5,736.493,1.03448,5.84724,0.36489,1.6202,1.07132,0.91599,0.13408,0.23097,0.13729,0.83485,0.05924,0.04268,0.0239,1.00241,5.60485,0.3411,0.93259,1.02702,0.000738548,0.000738548,0.000738548
6,868.662,1.01508,5.57749,0.33656,1.44325,1.06393,0.92496,0.14832,0.17065,0.10861,0.80987,0.05823,0.03512,0.01607,0.95979,5.25021,0.31505,0.90854,1.01305,0.000730935,0.000730935,0.000730935
7,1018.7,1.01491,5.38091,0.31716,1.32154,1.05593,0.89027,0.16566,0.21471,0.13297,0.8171,0.06186,0.05162,0.02719,0.95972,4.88072,0.30447,0.88639,1.01627,0.000723321,0.000723321,0.000723321
8,1135.8,1.01624,4.88106,0.29854,1.26942,1.0584,0.8307,0.16347,0.20708,0.13395,0.74237,0.08215,0.0637,0.03255,0.96981,4.60459,0.28797,0.86938,1.00993,0.000715708,0.000715708,0.000715708
9,1285.73,0.9906,4.53139,0.29054,1.18236,1.05665,0.95227,0.15321,0.20659,0.13037,0.88612,0.08022,0.07007,0.03484,0.97799,4.2471,0.27805,0.8942,1.02532,0.000708095,0.000708095,0.000708095
10,1468.94,0.98739,4.51222,0.28035,1.1548,1.03337,0.92738,0.16312,0.25969,0.15792,0.85429,0.094,0.08922,0.04958,0.93161,4.02537,0.26947,0.84034,1.00385,0.000700482,0.000700482,0.000700482
11,1598.5,0.99026,4.32373,0.26934,1.09688,1.03579,0.93656,0.17349,0.21334,0.12776,0.83207,0.08005,0.07158,0.04056,0.93655,3.88215,0.26002,0.85694,1.00256,0.000692869,0.000692869,0.000692869
12,1736.32,0.97516,4.18109,0.264,1.04733,1.03313,0.80575,0.22639,0.24964,0.15453,0.62431,0.10491,0.09909,0.05298,0.91927,3.71511,0.25133,0.83897,1.00151,0.000685256,0.000685256,0.000685256
13,1851,0.95897,3.95318,0.25495,1.03316,1.03032,0.85908,0.20014,0.23743,0.15752,0.78155,0.13574,0.12228,0.05959,0.90784,3.50524,0.24377,0.84568,0.99301,0.000677643,0.000677643,0.000677643
14,1979.87,0.94747,3.81306,0.25076,1.00276,1.02202,0.84344,0.20227,0.23779,0.15228,0.86432,0.0949,0.09464,0.05738,0.91314,3.33976,0.23765,0.81678,0.99771,0.00067003,0.00067003,0.00067003
15,2105.9,0.94024,3.64242,0.24372,0.97846,1.01248,0.81089,0.17508,0.25219,0.17097,0.92749,0.09895,0.11166,0.06244,0.91146,3.31043,0.22975,0.80438,0.98592,0.000662417,0.000662417,0.000662417
16,2275.38,0.92425,3.6445,0.24147,0.95265,1.00132,0.95802,0.17347,0.2651,0.16304,0.82056,0.09571,0.13565,0.08217,0.91504,3.29307,0.22728,0.81675,0.98896,0.000654804,0.000654804,0.000654804
17,2400.23,0.93486,3.44297,0.23476,0.93705,1.00993,0.62764,0.19836,0.23542,0.15188,0.89332,0.10379,0.10909,0.06751,0.9026,3.23294,0.22667,0.80894,0.98726,0.00064719,0.00064719,0.00064719
18,2578.78,0.94314,3.5855,0.23804,0.93118,1.01245,0.81334,0.23632,0.25614,0.17128,0.65286,0.14428,0.11989,0.07326,0.88913,3.08538,0.22011,0.79432,0.97627,0.000639577,0.000639577,0.000639577
19,2703,0.91367,3.4011,0.23037,0.91506,1.01081,0.82078,0.27714,0.27794,0.18316,0.64889,0.15545,0.12421,0.07386,0.87479,3.11162,0.21549,0.76575,0.98332,0.000631964,0.000631964,0.000631964
20,2842.95,0.91662,3.30544,0.23117,0.88129,1.01073,0.85764,0.28109,0.32404,0.20441,0.72487,0.15599,0.15866,0.09277,0.86992,2.9075,0.21358,0.75718,0.97355,0.000624351,0.000624351,0.000624351
21,2989.46,0.90977,3.23057,0.22663,0.90314,1.00852,0.8403,0.26183,0.28091,0.19016,0.72032,0.18507,0.1642,0.0908,0.89003,2.83695,0.21207,0.75596,0.97991,0.000616738,0.000616738,0.000616738
22,3181.8,0.91072,3.20094,0.224,0.86744,0.99688,0.88401,0.30539,0.31203,0.20831,0.51834,0.1568,0.12401,0.07616,0.89771,2.82642,0.2093,0.77525,0.98834,0.000609125,0.000609125,0.000609125
23,3307.8,0.92354,3.11969,0.22217,0.89069,1.00333,0.77333,0.26248,0.3181,0.20059,0.85675,0.11572,0.13324,0.08064,0.89102,2.76539,0.20674,0.77926,0.98538,0.000601512,0.000601512,0.000601512
24,3440.5,0.9178,3.08994,0.21722,0.85441,1.00506,0.91904,0.29097,0.35322,0.22811,0.82509,0.15962,0.15888,0.0865,0.88563,2.66566,0.20455,0.74044,0.98016,0.000593899,0.000593899,0.000593899
25,3567.61,0.90901,3.08442,0.2178,0.84421,1.00083,0.85017,0.24845,0.32571,0.19638,0.52353,0.16954,0.11957,0.06996,0.88052,2.58227,0.20315,0.75941,0.97521,0.000586286,0.000586286,0.000586286
26,3750.46,0.90326,2.93099,0.21466,0.82403,0.99667,0.85291,0.26415,0.34043,0.21454,0.6802,0.14544,0.12938,0.08379,0.87266,2.60113,0.19966,0.73458,0.98142,0.000578672,0.000578672,0.000578672
27,3876.76,0.89121,2.98083,0.21638,0.80419,0.9892,0.80243,0.28209,0.31335,0.19872,0.7109,0.18044,0.15483,0.09372,0.88588,2.48275,0.19947,0.74572,0.98239,0.000571059,0.000571059,0.000571059
28,4068.26,0.87204,2.89399,0.21185,0.80772,0.98361,0.92083,0.23,0.32402,0.22037,0.81554,0.14731,0.14181,0.07889,0.86536,2.51777,0.19572,0.74782,0.96697,0.000563446,0.000563446,0.000563446
29,4194.45,0.87754,2.81712,0.20902,0.79869,0.98936,0.65768,0.27413,0.28574,0.19732,0.54334,0.17203,0.15145,0.08143,0.87231,2.44912,0.19616,0.73944,0.96666,0.000555833,0.000555833,0.000555833
30,4314.1,0.88036,2.80113,0.21179,0.80286,0.99492,0.8508,0.32895,0.34692,0.20556,0.72758,0.17616,0.17417,0.09074,0.8806,2.39782,0.19479,0.73237,0.97717,0.00054822,0.00054822,0.00054822
31,4438.98,0.87626,2.69772,0.2072,0.81162,0.98916,0.91736,0.21886,0.2625,0.18421,0.77366,0.13594,0.11764,0.07687,0.87732,2.34703,0.1937,0.74369,0.97021,0.000540607,0.000540607,0.000540607
32,4570.46,0.86771,2.73776,0.20834,0.78851,0.97869,0.64303,0.24221,0.28972,0.17959,0.53256,0.16557,0.15078,0.086,0.86094,2.4638,0.19333,0.74103,0.96407,0.000532994,0.000532994,0.000532994
33,4696.38,0.86371,2.67779,0.20748,0.77167,0.98203,0.89326,0.23707,0.31302,0.20033,0.66998,0.11776,0.12509,0.0815,0.85625,2.43361,0.192,0.73924,0.96577,0.000525381,0.000525381,0.000525381
34,4829.29,0.86144,2.62412,0.20854,0.78382,0.98503,0.85581,0.35288,0.36813,0.22999,0.74965,0.16332,0.15321,0.09508,0.86131,2.31641,0.19094,0.72478,0.97443,0.000517768,0.000517768,0.000517768
35,4955.84,0.84672,2.50548,0.20339,0.76667,0.98047,0.84781,0.32751,0.33038,0.21992,0.74732,0.2401,0.18831,0.09971,0.86618,2.28001,0.18829,0.71828,0.96903,0.000510155,0.000510155,0.000510155
36,5077.11,0.86159,2.57265,0.2039,0.75832,0.96633,0.68593,0.31373,0.36091,0.23305,0.61289,0.20102,0.17797,0.10286,0.85979,2.26227,0.18581,0.71703,0.96688,0.000502541,0.000502541,0.000502541
37,5237.57,0.84911,2.44667,0.20012,0.74012,0.98371,0.87667,0.31031,0.35308,0.21877,0.73101,0.19011,0.16362,0.0949,0.8607,2.21742,0.18772,0.70296,0.96366,0.000494928,0.000494928,0.000494928
38,5382.81,0.84179,2.39291,0.20204,0.75791,0.976,0.84986,0.3027,0.35817,0.23119,0.69775,0.18447,0.15737,0.10216,0.85279,2.19637,0.18795,0.71065,0.96287,0.000487315,0.000487315,0.000487315
39,5509.44,0.8576,2.43396,0.20174,0.74211,0.9738,0.72307,0.28874,0.34834,0.22398,0.61592,0.19455,0.17791,0.10484,0.84789,2.18908,0.1873,0.70384,0.9616,0.000479702,0.000479702,0.000479702
40,5705.03,0.84578,2.37708,0.20144,0.72514,0.96228,0.64898,0.27896,0.32809,0.21196,0.681,0.17905,0.16738,0.10297,0.86439,2.16499,0.18647,0.71321,0.97547,0.000472089,0.000472089,0.000472089
41,5867.54,0.85614,2.38034,0.1988,0.7405,0.97294,0.70281,0.29391,0.32136,0.22407,0.61964,0.21022,0.18025,0.10662,0.85619,2.13429,0.18435,0.70372,0.96889,0.000464476,0.000464476,0.000464476
42,6068.26,0.84988,2.27872,0.19927,0.74754,0.97845,0.49797,0.36139,0.35217,0.23664,0.73422,0.17375,0.18147,0.11241,0.84578,2.0147,0.18384,0.70514,0.95748,0.000456863,0.000456863,0.000456863
43,6272.05,0.85033,2.29048,0.19948,0.72727,0.96586,0.8748,0.28884,0.34007,0.22997,0.71181,0.17373,0.17525,0.10935,0.85717,2.05535,0.18237,0.70259,0.96624,0.00044925,0.00044925,0.00044925
44,6494.89,0.83725,2.17494,0.19769,0.70713,0.96114,0.7419,0.34721,0.3501,0.21588,0.63356,0.22925,0.1866,0.12007,0.83211,2.00097,0.18231,0.69632,0.95198,0.000441637,0.000441637,0.000441637
